Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
5,167,JAX,Keilan Robinson,RB,24,2024,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
5,168,BUF,Javon Solomon,DE,23,2024,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,9,,2.0,Troy,College Stats
5,169,GNB,Kitan Oladapo,DB,23,2024,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,,Oregon St.,College Stats
5,170,NOR,Bub Means,WR,23,2024,0,0,0,1,1,7,0,0,0,0,0,0,0,0,9,118,1,,,,Pittsburgh,College Stats
5,171,NYJ,Jordan Travis,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats
5,172,PHI,Trevor Keegan,OL,24,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
5,173,NYJ,Isaiah Davis,RB,22,2024,0,0,0,2,2,17,0,0,0,0,0,30,174,1,9,75,1,7,,,South Dakota St.,
5,174,DAL,Caelen Carson,DB,22,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,24,,,Wake Forest,College Stats
5,175,NOR,Jaylan Ford,LB,22,2024,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas,College Stats
5,176,NYJ,Qwan'tez Stiggers,CB,22,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,7,,,,
6,177,MIN,Walter Rouse,OL,23,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
6,178,PIT,Logan Lee,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats
6,179,SEA,Sataoa Laumea,OL,23,2024,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
6,180,NWE,Marcellas Dial,DB,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,6,,,South Carolina,College Stats
6,181,LAC,Kimani Vidal,RB,23,2024,0,0,0,2,2,10,0,0,0,0,0,43,155,0,5,62,1,,,,Troy,College Stats
6,182,TEN,Jha'Quan Jackson,WR,24,2024,0,0,0,0,0,12,0,0,0,0,0,1,-5,0,1,8,0,,,,Tulane,College Stats
6,183,NYG,Darius Muasau,LB,23,2024,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,26,1,,UCLA,College Stats
6,184,MIA,Malik Washington,WR,23,2024,0,0,0,2,2,14,0,0,0,0,0,5,25,1,26,223,0,,,,Virginia,College Stats
6,185,PHI,Johnny Wilson,WR,23,2024,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,38,1,,,,Florida St.,College Stats
6,186,ATL,Jase McClellan,RB,22,2024,0,0,0,0,0,2,0,0,0,0,0,13,32,0,0,0,0,,,,Alabama,College Stats
